titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
Allanite,Espionage,Russian Federation,"United Kingdom, United States",attore,,da_estrarre_con_llm,"This threat actor targets business and industrial control networks in the power-utility sector, for the purpose of espionage. In 2017, the U.S. Department of Homeland Security warned U.S. critical infrastructure operators about this threat actor and its capabilities.",https://www.cfr.org/cyber-operations/allanite
Trisis,Sabotage,Russian Federation,Saudi Arabia,attore,,da_estrarre_con_llm,"This threat actor targets the Triconex safety instrumented system (SIS) controllers produced by Schneider Electric, as well as a proprietary network communications protocol. SIS controllers maintain safe conditions in an industrial system should other failures occur. In 2017, the U.S. Department of Homeland Security released a malware analysis report on the tools used by this […]",https://www.cfr.org/cyber-operations/trisis
"Compromises of government embassies, telecommunications companies, and a Russian oil company",Espionage,Iran (Islamic Republic of),"Pakistan, Russian Federation, Saudi Arabia, Turkey",vittima,,da_estrarre_con_llm,"A group has attacked 131 victims in thirty organizations since September 2018, including unidentified government embassies, telecommunications firms, and a Russian oil and gas company.",https://www.cfr.org/cyber-operations/compromises-of-government-embassies-telecommunications-companies-and-a-russian-oil-company
Targeting of sporting and anti-doping organizations ahead of 2020 Tokyo Olympics,Espionage,Russian Federation,,attore,,da_estrarre_con_llm,"Just prior to news reports suggesting that the World Anti-Doping Agency might ban Russian athletes from all international sporting events, APT 28 attacked a number of sporting and anti-doping organizations.",https://www.cfr.org/cyber-operations/targeting-of-sporting-and-anti-doping-organizations-ahead-of-2020-tokyo-olympics
APT 28,,Russian Federation,"Afghanistan, Armenia, Belgium, Canada, China, France, Georgia, Germany, Hungary, Japan, Jordan, Kazakhstan, Mongolia, Pakistan, Poland, Tajikistan, Turkey, Ukraine, United Kingdom, United States",attore,2014-10-28,archivio_cfr_2019,"This threat actor is linked to espionage campaigns, high-profile doxing efforts, and disruptive incidents that compromised targets believed to be of interest to the Russian government.",https://www.cfr.org/cyber-operations/apt-28
Targeting of Russian aerospace and defense conglomerate,Denial of service,Ukraine,Russian Federation,vittima,,da_estrarre_con_llm,Hackers targeted the Russian state-owned aerospace and defense conglomerate Rostec with a DDoS attack on its website. The website was taken down briefly before being returned to service. Rostec blamed the incident on Ukrainian “radicals” who are likely part of the IT Army.,https://www.cfr.org/cyber-operations/targeting-of-russian-aerospace-and-defense-conglomerate
"Targeting of Teamviewer, a German-based company that makes widely used remote-access tools for companies",Espionage,Russian Federation,Germany,attore,,da_estrarre_con_llm,"Teamviewer, a German-based company that makes widely used remote-access tools for companies, detected an irregularity within their internal IT environment. The company was able to quickly trace the intrusion to APT 29, although it was unclear if any of Teamviewer’s customers had been compromised as part of the breach.",https://www.cfr.org/cyber-operations/targeting-teamviewer-german-based-company-makes-widely-used-remote-access-tools
"Targeting of TVP, a public service broadcaster in Poland",Denial of service,Russian Federation,Poland,attore,,da_estrarre_con_llm,The Polish deputy minister of digital affairs accused Russia of launching a distributed denial-of-service (DDoS) attack on Polish public broadcaster Telewizja Polska (TVP) to prevent Polish citizens from watching a match between Poland and the Netherlands during the Euro 2024 soccer tournament.,https://www.cfr.org/cyber-operations/targeting-of-tvp-a-public-service-broadcaster-in-poland
UAC-0188,Espionage,Russian Federation,"Ukraine, United States",attore,,da_estrarre_con_llm,UAC-0188 is a Russian threat actor that has been previously observed deploying malware on U.S. and European financial and insurance institutions.,https://www.cfr.org/cyber-operations/uac-0188
FlyingYeti,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,FlyingYeti is a threat actor known primarily for targeting Ukrainian military entities but has also targeted Ukrainian citizens with phishing lures that capitalize on anxiety over potential housing loss.,https://www.cfr.org/cyber-operations/flyingyeti
