titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
Leafminer,,Iran (Islamic Republic of),"Afghanistan, Azerbaijan, Bahrain, Egypt, Iran (Islamic Republic of), Israel, Qatar, Saudi Arabia, United Arab Emirates",entrambi,,da_estrarre_con_llm,"This threat actor targets government organizations and entities in the financial, petrochemical, and transportation sectors for espionage purposes.",https://www.cfr.org/cyber-operations/leafminer
"Compromises of government embassies, telecommunications companies, and a Russian oil company",Espionage,Iran (Islamic Republic of),"Pakistan, Russian Federation, Saudi Arabia, Turkey",attore,,da_estrarre_con_llm,"A group has attacked 131 victims in thirty organizations since September 2018, including unidentified government embassies, telecommunications firms, and a Russian oil and gas company.",https://www.cfr.org/cyber-operations/compromises-of-government-embassies-telecommunications-companies-and-a-russian-oil-company
Agrius,,Iran (Islamic Republic of),Israel,attore,,da_estrarre_con_llm,"Agrius is an Iranian threat actor which has consistently been observed targeting Israeli networks. The group has frequently deployed wipers disguised as ransomware on networks, with the goal of destroying data and disrupting operations. Also known as BlackShadow, Americium, Pink Sandstorm, and DEV-0227.",https://www.cfr.org/cyber-operations/agrius
Storm-842,Espionage,Iran (Islamic Republic of),"Albania, Israel",attore,,da_estrarre_con_llm,"Void Manticore is an Iranian threat actor affiliated with the ministry of intelligence and security. Known to conduct data destruction and espionage attacks, it has been identified in attacks against Albania and Israel.",https://www.cfr.org/cyber-operations/storm-842
Targeting of Israeli organizations,Data destruction,Iran (Islamic Republic of),Israel,attore,,da_estrarre_con_llm,"Cybersecurity company Check Point Research identified Storm-842 (Void Manticore) for using a custom wiper known as the BiBi wiper, after Israeli Prime Minister Benjamin Netanyahu. The group is known to collaborate with Scarred Manticore, another Iran-sponsored threat actor.",https://www.cfr.org/cyber-operations/targeting-of-israeli-organizations
"Targeting of U.S. Departments of Treasury and State, defense contractors, and two New York–based companies",Espionage,Iran (Islamic Republic of),United States,attore,,da_estrarre_con_llm,"Four Iranian nationals (Hossein Harooni, Reza Kazemifar, Komeil Baradaran Salmani, and Alireza Shafie Nasab) were members of a hacking organization from 2016 to 2021 that targeted U.S. companies and the Departments of Treasury and State. The group’s private-sector victims were mainly defense contractors with security clearance. Their primary techniques were spear phishing and social engineering.",https://www.cfr.org/cyber-operations/targeting-of-u-s-departments-of-treasury-and-state-defense-contractors-and-two-new-york-based-companies
"Targeting of telecommunications firms and government agencies in Israel, Turkey, and Africa",Espionage,Iran (Islamic Republic of),"Egypt, Israel, Turkey",attore,,da_estrarre_con_llm,"MuddyWater APT, an Iranian threat actor, launched attacks in February 2024, gaining administrator privileges to upload, extract, monitor, and execute files. Identified by the National Cyber Directorate of Israel in March 2024, the group has been targeting entities aligned with Iran’s political interests.",https://www.cfr.org/cyber-operations/targeting-of-telecommunications-firms-and-government-agencies-in-israel-turkey-and-africa
"Targeting of the telecommunications sector in Egypt, Sudan, and Tanzania",Espionage,Iran (Islamic Republic of),"Egypt, Sudan, Tanzania, United Republic of",attore,,da_estrarre_con_llm,"Iranian threat actor Muddywater targeted the telecommunications sector in Egypt, Sudan, and Tanzania in November 2023.",https://www.cfr.org/cyber-operations/targeting-of-the-telecommunications-sector-in-egypt-sudan-and-tanzania
Targeting of Israeli education and technology sectors,Data destruction,Iran (Islamic Republic of),Israel,attore,,da_estrarre_con_llm,"Agrius, an Iranian threat actor, broke into the networks of Israeli education and technology companies, stole intellectual property, and then deployed wipers on the affected systems to cover their tracks. The attacks began in January 2023 and lasted until at least October 2023.",https://www.cfr.org/cyber-operations/targeting-of-israeli-education-and-technology-sectors
"Targeting of satellite, defense, and pharmaceutical organizations",Espionage,Iran (Islamic Republic of),,attore,,da_estrarre_con_llm,"APT 33 was observed using password-spraying attacks against a wide range of organizations. Microsoft said it detected successful intrusions in a small number of cases and that when APT 33 did gain access to networks, it exfiltrated information from victim servers.",https://www.cfr.org/cyber-operations/targeting-of-satellite-defense-and-pharmaceutical-organizations
