titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
"Targeting of high-profile government, aviation, energy, telecoms and banking-sector entities in the Middle East and North Africa",Espionage,Iran (Islamic Republic of),"Armenia, Azerbaijan, Bahrain, Canada, Egypt, Israel, Jordan, Kuwait, Malaysia, Saudi Arabia, Syrian Arab Republic, Turkey, United Arab Emirates",vittima,,da_estrarre_con_llm,"MuddyWater ran a phishing campaign that likely began in July 2021 against high-profile government, aviation, banking-sector, energy, and telecommunications entities in the Middle East and North Africa.",https://www.cfr.org/cyber-operations/targeting-of-high-profile-government-aviation-energy-telecoms-and-banking-sector-entities-in-the-middle-east-and-north-africa
"Targeting of Uyghur activists, journalists, and dissidents",Espionage,China,"Australia, Canada, Kazakhstan, Syrian Arab Republic, Turkey, United States",vittima,,da_estrarre_con_llm,The Chinese threat actor Evil Eye used fake Facebook profiles and websites that masqueraded as legitimate Turkish and Uyghur news sites to disseminate malicious links to Uyghur activists around the world.,https://www.cfr.org/cyber-operations/targeting-of-uyghur-activists-journalists-and-dissidents
Targeting of Arabic speakers with COVID-19–related apps,Espionage,Syrian Arab Republic,Syrian Arab Republic,entrambi,,da_estrarre_con_llm,The Syrian Electronic Army distributed numerous COVID-19–themed Android mobile apps to Arabic-speaking users.,https://www.cfr.org/cyber-operations/targeting-of-arabic-speakers-with-covid-19-related-apps
DarkUniverse,,Russian Federation,"Afghanistan, Belarus, Ethiopia, Iran (Islamic Republic of), Russian Federation, Sudan, Syrian Arab Republic, Tanzania, United Republic of, United Arab Emirates",vittima,,da_estrarre_con_llm,"DarkUniverse was a threat group affiliated with Russia that was active for at least eight years, from 2009 until 2017.",https://www.cfr.org/cyber-operations/darkuniverse
Operation Parliament,Espionage,,"Afghanistan, Canada, Chile, Denmark, Djibouti, Egypt, Germany, India, Iran (Islamic Republic of), Iraq, Israel, Jordan, Korea (Republic of), Kuwait, Lebanon, Morocco, Oman, Palestine, State of, Qatar, Russian Federation, Saudi Arabia, Serbia, Somalia, Syrian Arab Republic, United Arab Emirates, United Kingdom, United States",vittima,2018-04-12,archivio_cfr_2019,"This threat actor uses spear-phishing techniques to target parliaments, government ministries, academics, and media organizations, primarily in the Middle East, for the purpose of espionage.",https://www.cfr.org/cyber-operations/operation-parliament
UK targeting of the Islamic State group,Sabotage,United Kingdom,Syrian Arab Republic,vittima,2018-04-12,archivio_cfr_2019,"The United Kingdom’s Government Communications Headquarters director announced that, along with the UK Ministry of Defense, it had conducted a “major offensive cyber campaign” directed at the Islamic State, with the purpose of disrupting the group’s ability to recruit and coordinate. The UK campaign mirrors a previous one announced by the U.S. government in 2016.",https://www.cfr.org/cyber-operations/uk-targeting-of-the-islamic-state-group
Targeting of the Islamic State group,Sabotage,United States,"Iraq, Syrian Arab Republic",vittima,2016-02-28,archivio_cfr_2019,"The United States announced that it would conduct offensive cyber operations against the Islamic State with a view to disrupting its ability to recruit, communicate with, and exercise command and control over its fighters.",https://www.cfr.org/cyber-operations/targeting-of-the-islamic-state-group
Rocket Kitten,Espionage,Iran (Islamic Republic of),"Afghanistan, Canada, Egypt, Iran (Islamic Republic of), Iraq, Israel, Jordan, Kuwait, Saudi Arabia, Syrian Arab Republic, Turkey, United Arab Emirates, United Kingdom, Yemen",vittima,2015-11-09,archivio_cfr_2019,"This threat actor targets defense contractors and academic institutions in Israel, European government agencies, and civil society actors. It seeks out material related to diplomacy, defense, security, journalism, and human rights for espionage purposes.",https://www.cfr.org/cyber-operations/rocket-kitten
Equation Group,Espionage,United States,"Afghanistan, Algeria, China, India, Iran (Islamic Republic of), Kenya, Lebanon, Libya, Mali, Pakistan, Russian Federation, Syrian Arab Republic, United Arab Emirates, United Kingdom, Yemen",vittima,2015-02-16,archivio_cfr_2019,"In 2015, Moscow-based Kaspersky Lab published a report on the Equation Group, a threat actor active since 2001 [PDF]. It was responsible for infecting approximately five hundred systems in at least forty-two countries. The malware used by Equation Group had the ability to reprogram hard drives and then self-destruct, which made the operations effectively invisible […]",https://www.cfr.org/cyber-operations/equation-group
Regin,Espionage,"United Kingdom, United States","Afghanistan, Algeria, Belgium, Brazil, Fiji, Germany, India, Indonesia, Iran (Islamic Republic of), Kiribati, Malaysia, Pakistan, Russian Federation, Syrian Arab Republic",vittima,2014-11-24,archivio_cfr_2019,"A threat actor, using a tool dubbed Regin, compromised telecommunications networks and collected information about how those networks operate to facilitate espionage on other targets such as governments, financial institutions, and academics.",https://www.cfr.org/cyber-operations/regin
Flame,Data destruction,"Israel, United States","Austria, Egypt, France, Hungary, Iran (Islamic Republic of), Israel, Lebanon, Russian Federation, Saudi Arabia, Sudan, Syrian Arab Republic, United Arab Emirates",vittima,2012-05-28,archivio_cfr_2019,"A threat actor, using a tool called Flame, targeted computers in the Middle East region; the most compromises were in Iran. This compromise gained widespread coverage due to the modular nature of the malware the threat actors used.",https://www.cfr.org/cyber-operations/flame
Syrian Electronic Army,,Syrian Arab Republic,United States,attore,,da_estrarre_con_llm,A loosely organized collective of Syrian government–affiliated threat actors that has targeted a wide range of entities since 2011.,https://www.cfr.org/cyber-operations/syrian-electronic-army
