titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
Kimusky,,Korea (Democratic People's Republic of),"France, Slovakia, United Kingdom, United States",attore,,da_estrarre_con_llm,This threat actor targeted foreign ministries and think tanks in Europe and the United States using malware hidden in Microsoft Word documents and antiquated file formats.,https://www.cfr.org/cyber-operations/kimusky
Targeting of American defense industry,Espionage,Korea (Democratic People's Republic of),United States,attore,,da_estrarre_con_llm,"The North Korean threat actor Lazarus Group leveraged a Windows update to conduct spear-phishing attacks, sending fake job offers from Lockheed Martin. Lazarus has used fake job offers in the past to plant malware on defense industry systems.",https://www.cfr.org/cyber-operations/targeting-of-american-defense-industry
Targeting of South Korean individuals and organizations with fake Itaewon disaster documents,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),attore,,da_estrarre_con_llm,"APT 37 was detected using a zero day in the Internet Explorer application as part of a phishing campaign against South Korean users. APT 37 also used a lure document purporting to analyze the stampede that occurred at Itaewon, a neighborhood in Seoul, on October 29, 2022, to entice users to open the phishing document. […]",https://www.cfr.org/cyber-operations/targeting-of-south-korean-individuals-and-organizations-with-fake-itaewon-disaster-documents
Targeting of CyberLink customers in supply-chain attack,,Korea (Democratic People's Republic of),Taiwan,attore,,da_estrarre_con_llm,"Lazarus Group compromised Taiwanese software provider CyberLink’s network and embedded malicious code in an update of CyberLink’s Promeo software. The attack appeared aimed at compromising the networks of CyberLink customers, including critical government, financial, and defense systems in countries including the United States, Canada, Japan, and Taiwan.",https://www.cfr.org/cyber-operations/targeting-of-cyberlink-customers-in-supply-chain-attack
"Targeting of Google Chrome users in the United States, South Korea, and Europe, particularly those involved in research into North Korean affairs",Espionage,Korea (Democratic People's Republic of),"Korea (Republic of), United States",attore,,da_estrarre_con_llm,"Zscaler observed Kimsuky leveraging a malicious version of a Google Chrome extension, which Zscaler named “Translatext,” to steal information. The extension allows Kimsuky to bypass popular email servers’ security measures and access users’ inboxes.",https://www.cfr.org/cyber-operations/targeting-of-google-chrome-users-in-the-united-states-south-korea-and-europe-particularly-those-involved-in-research-into-north-korean-affairs
Targeting of aerospace and defense organizations worldwide,Espionage,Korea (Democratic People's Republic of),,attore,,da_estrarre_con_llm,"Moonstone Sleet, a North Korean actor identified in May 2024, developed a custom ransomware variant called FakePenny, which it deployed at organizations in aerospace and defense after exfiltrating data from the compromised networks.",https://www.cfr.org/cyber-operations/targeting-of-aerospace-and-defense-organizations-worldwide
Moonstone Sleet,Financial Theft,Korea (Democratic People's Republic of),,attore,,da_estrarre_con_llm,Moonstone Sleet is a North Korean threat actor that has previously been observed deploying ransomware on aerospace and defense systems.,https://www.cfr.org/cyber-operations/moonstone-sleet
Targeting of South Korean defense industry,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),attore,,da_estrarre_con_llm,The Seoul Metropolitan Police said that Lazarus Group had broken into the networks of several companies connected to the South Korean defense industry and managed to steal sensitive information about anti-aircraft systems the companies manufacture or design.,https://www.cfr.org/cyber-operations/targeting-of-south-korean-defense-industry
Targeting of South Korean research institutes,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),attore,,da_estrarre_con_llm,North Korean threat actor Kimsuky targeted South Korean research institutes with a malicious import declaration. Opening the document would give Kimsuky access to the victim’s network.,https://www.cfr.org/cyber-operations/targeting-of-south-korean-research-institutes
Targeting of customers of a South Korean asset management program,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),attore,,da_estrarre_con_llm,Lazarus Group inserted malware into a program run by a South Korean asset management company. The attack appears to have been targeted at the company’s customers.,https://www.cfr.org/cyber-operations/targeting-of-customers-of-a-south-korean-asset-management-program
Targeting of Danish critical infrastructure companies,Espionage,Korea (Democratic People's Republic of),Taiwan,attore,,da_estrarre_con_llm,"Starting in May 2023, Russian threat actor Sandworm used a vulnerability in Zyxel firewalls to break into the networks of twenty-two Danish companies operating in different critical infrastructure sectors.",https://www.cfr.org/cyber-operations/targeting-of-danish-critical-infrastructure-companies
Targeting of blockchain engineers at a cryptocurrency exchange,Financial Theft,Korea (Democratic People's Republic of),United States,attore,,da_estrarre_con_llm,"Lazarus Group distributed a compromised cryptocurrency arbitrage bot on public services on the chat service Discord. The attack was highly targeted, with the goal of gaining access to the network of a cryptocurrency company.",https://www.cfr.org/cyber-operations/targeting-of-blockchain-engineers-at-a-cryptocurrency-exchange
Targeting of Mixin cryptocurrency network,Financial Theft,Korea (Democratic People's Republic of),Hong Kong,attore,,da_estrarre_con_llm,Hong Kong–based cryptocurrency exchange Mixin said North Korea hackers stole over $200 million in cryptocurrency after breaching Mixin’s cloud service provider.,https://www.cfr.org/cyber-operations/targeting-of-mixin-cryptocurrency-network
Targeting of CoinEx cryptocurrency exchange,Financial Theft,Korea (Democratic People's Republic of),,attore,,da_estrarre_con_llm,Lazarus Group stole almost $54 million in various cryptocurrencies from the CoinEx exchange. Some of the funds were moved into a wallet that contained stolen funds from an earlier theft of cryptocurrency from the Stake.com gambling platform.,https://www.cfr.org/cyber-operations/targeting-of-coinex-cryptocurrency-exchange
Targeting of Stake virtual currency service,Financial Theft,Korea (Democratic People's Republic of),United States,attore,,da_estrarre_con_llm,Lazarus Group stole $41 million in cryptocurrency from the online gambling platform Stake.com.,https://www.cfr.org/cyber-operations/targeting-of-stake-virtual-currency-service
Targeting of South Korean defense industry and an electronics manufacturer,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),attore,,da_estrarre_con_llm,"Andariel, a subgroup of Lazarus Group, attacked South Korean defense companies and an electronics device manufacturer in March 2023. The group used several malware strains that have been used in previous attacks on South Korean universities.",https://www.cfr.org/cyber-operations/targeting-of-south-korean-defense-industry-and-an-electronics-manufacturer
Targeting of internet infrastructure provider in Europe,Espionage,Korea (Democratic People's Republic of),,attore,,da_estrarre_con_llm,"Lazarus Group deployed a new variety of remote-access Trojan, dubbed QuiteRAT, on the networks of a European internet backbone infrastructure provider.",https://www.cfr.org/cyber-operations/targeting-of-internet-infrastructure-provider-in-europe
Targeting of Russian missile design firm,Espionage,Korea (Democratic People's Republic of),Russian Federation,attore,,da_estrarre_con_llm,"APT 37, a North Korean threat actor, compromised sensitive networks, including an email server, at the Russian missile design firm NPO Mashinostroyeniya. The company has previously been involved in designing hypersonic missiles and newer generation ballistic missiles.",https://www.cfr.org/cyber-operations/targeting-of-russian-missile-design-firm
Targeting of CoinsPaid cryptocurrency service,Financial Theft,Korea (Democratic People's Republic of),,attore,,da_estrarre_con_llm,"CoinsPaid, a cryptocurrency management firm, was hacked by the North Korean threat actor Lazarus Group. Lazarus managed to steal almost $38 million in various kinds of cryptocurrency.",https://www.cfr.org/cyber-operations/targeting-of-coinspaid-cryptocurrency-service
Targeting of GitHub users with an interest in cryptocurrency,Espionage,Korea (Democratic People's Republic of),United States,attore,,da_estrarre_con_llm,"North Korean threat actor Lazarus Group used spear-phishing lures to distribute GitHub repositories, usually pretending to be media players or cryptocurrency trading tools, which contain malicious code. The attacks share commonalities with another North Korean cyberattack detected in June 2022, TraderTraitor.",https://www.cfr.org/cyber-operations/targeting-of-github-users-with-an-interest-in-cryptocurrency
Targeting of IT company as part of a supply-chain attack,Financial Theft,Korea (Democratic People's Republic of),United States,attore,,da_estrarre_con_llm,"North Korean threat actors targeted the systems of an information technology firm, JumpCloud. After gaining access to JumpCloud’s systems, the operators targeted several JumpCloud customers involved in the cryptocurrency trade.",https://www.cfr.org/cyber-operations/targeting-of-it-company-as-part-of-a-supply-chain-attack
Targeting of users of Naver,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),attore,,da_estrarre_con_llm,"North Korean hackers set up a fake website designed to look like the South Korean web portal and search engine Naver, according to a report by the South Korean National Intelligence Service.",https://www.cfr.org/cyber-operations/targeting-of-users-of-naver
Targeting of Atomic Wallet cryptocurrency users,Financial Theft,Korea (Democratic People's Republic of),United States,attore,,da_estrarre_con_llm,North Korean hackers stole over $100 million in cryptocurrency from over five thousand cryptocurrency wallets run by a company called Atomic Wallet.,https://www.cfr.org/cyber-operations/targeting-of-atomic-wallet-cryptocurrency-users
"Targeting of South Korean professors, dissidents, and human rights advocates",Espionage,Korea (Democratic People's Republic of),Korea (Republic of),attore,,da_estrarre_con_llm,"APT 37, a North Korean hacking group, distributed information-stealing malware through Ably, a South Korean data-transfer and messaging application. The malware could be used to steal information from the victim’s computer and to record video and audio and exfiltrate it.",https://www.cfr.org/cyber-operations/targeting-of-south-korean-professors-dissidents-and-human-rights-advocates
Targeting of analysts of North Korean affairs,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),attore,,da_estrarre_con_llm,Kimsuky used social engineering techniques to deploy ReconShark malware against former South Korean government officials and researchers focused on North Korean affairs. The group focused on expanding access to affected systems and stealing subscriptions to the North Korea-focused news website NKNews.,https://www.cfr.org/cyber-operations/targeting-of-analysts-of-north-korean-affairs
Targeting of cryptocurrency exchanges in DangerousPassword campaign,Espionage,Korea (Democratic People's Republic of),Japan,attore,,da_estrarre_con_llm,"BlueNoroff, a subcluster of the threat actor Lazarus Group, sent malicious shortcut files to cryptocurrency exchanges as part of an expansion of its DangerousPassword campaign. The malware was distributed both over email and through LinkedIn messages.",https://www.cfr.org/cyber-operations/targeting-of-cryptocurrency-exchanges-in-dangerouspassword-campaign
Targeting of South Korean hospital network,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),attore,,da_estrarre_con_llm,"Kimsuky attacked the networks of Seoul National University Hospital in 2021 and stole personal data from over eight hundred thousand current and former patients and employees. Two years later, South Korean police attributed the attack to North Korea.",https://www.cfr.org/cyber-operations/targeting-of-south-korean-hospital-network
Targeting of manufacturing and real-estate sectors in India and telecommunications companies in Bulgaria and Pakistan,Espionage,Korea (Democratic People's Republic of),"Bulgaria, India, Pakistan",attore,,da_estrarre_con_llm,"A Lazarus Group campaign, active from early 2020 until January 2023, leveraged a backdoored UltraVNC client against manufacturing and real-estate sectors in India and telecommunications companies in Pakistan and Bulgaria. The goal of the operation, whose scope extends beyond Bulgaria, India, and Pakistan, appears to be intelligence collection.",https://www.cfr.org/cyber-operations/targeting-of-manufacturing-and-real-estate-sectors-in-india-and-telecommunications-companies-in-bulgaria-and-pakistan
Targeting of South Korean institutions,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),attore,,da_estrarre_con_llm,"Chinese actor Tonto Team targeted South Korean education, construction, diplomatic, and political institutions with a malicious file related to anti-malware products.",https://www.cfr.org/cyber-operations/targeting-of-south-korean-institutions
Targeting of Mac users at financial institutions,Espionage,Korea (Democratic People's Republic of),United States,attore,,da_estrarre_con_llm,"BlueNoroff, a subgroup of North Korea’s Lazarus Group, was observed using a new Mac operating-system malware family, dubbed RustBucket, in recent attacks on Mac machines. Based on the lures used, BlueNoroff likely targeted the financial technology sector with the malware. RustBucket can be used to gather system information and allows the attacker to perform various […]",https://www.cfr.org/cyber-operations/targeting-of-mac-users-at-financial-institutions
