titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
Targeting of South Korean individuals and organizations with fake Itaewon disaster documents,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),vittima,,da_estrarre_con_llm,"APT 37 was detected using a zero day in the Internet Explorer application as part of a phishing campaign against South Korean users. APT 37 also used a lure document purporting to analyze the stampede that occurred at Itaewon, a neighborhood in Seoul, on October 29, 2022, to entice users to open the phishing document. […]",https://www.cfr.org/cyber-operations/targeting-of-south-korean-individuals-and-organizations-with-fake-itaewon-disaster-documents
"Targeting of Google Chrome users in the United States, South Korea, and Europe, particularly those involved in research into North Korean affairs",Espionage,Korea (Democratic People's Republic of),"Korea (Republic of), United States",vittima,,da_estrarre_con_llm,"Zscaler observed Kimsuky leveraging a malicious version of a Google Chrome extension, which Zscaler named “Translatext,” to steal information. The extension allows Kimsuky to bypass popular email servers’ security measures and access users’ inboxes.",https://www.cfr.org/cyber-operations/targeting-of-google-chrome-users-in-the-united-states-south-korea-and-europe-particularly-those-involved-in-research-into-north-korean-affairs
Targeting of South Korean defense industry,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),vittima,,da_estrarre_con_llm,The Seoul Metropolitan Police said that Lazarus Group had broken into the networks of several companies connected to the South Korean defense industry and managed to steal sensitive information about anti-aircraft systems the companies manufacture or design.,https://www.cfr.org/cyber-operations/targeting-of-south-korean-defense-industry
Targeting of South Korean research institutes,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),vittima,,da_estrarre_con_llm,North Korean threat actor Kimsuky targeted South Korean research institutes with a malicious import declaration. Opening the document would give Kimsuky access to the victim’s network.,https://www.cfr.org/cyber-operations/targeting-of-south-korean-research-institutes
Targeting of customers of a South Korean asset management program,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),vittima,,da_estrarre_con_llm,Lazarus Group inserted malware into a program run by a South Korean asset management company. The attack appears to have been targeted at the company’s customers.,https://www.cfr.org/cyber-operations/targeting-of-customers-of-a-south-korean-asset-management-program
Targeting of subsidiaries of global companies,Espionage,China,"Japan, Korea (Republic of), United States",vittima,,da_estrarre_con_llm,"BlackTech, a Chinese threat actor, targeted public- and private-sector organizations, including industrial, technology, media, electronics, and telecommunications companies. It attacked the poorly secured systems of subsidiary companies and then escalated access to the parent companies’ network, sometimes by compromising the firmware of routers.",https://www.cfr.org/cyber-operations/targeting-of-subsidiaries-of-global-companies
"Targeting of South Korean academics, government agencies, and political groups",Espionage,China,Korea (Republic of),vittima,,da_estrarre_con_llm,"Chinese threat actor Tick was found using spoofed domains to target South Korean political, government, and academic organizations. The attack appears aimed at gathering intelligence.",https://www.cfr.org/cyber-operations/targeting-of-south-korean-academics-government-agencies-and-political-groups
Targeting of South Korean defense industry and an electronics manufacturer,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),vittima,,da_estrarre_con_llm,"Andariel, a subgroup of Lazarus Group, attacked South Korean defense companies and an electronics device manufacturer in March 2023. The group used several malware strains that have been used in previous attacks on South Korean universities.",https://www.cfr.org/cyber-operations/targeting-of-south-korean-defense-industry-and-an-electronics-manufacturer
Targeting of users of Naver,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),vittima,,da_estrarre_con_llm,"North Korean hackers set up a fake website designed to look like the South Korean web portal and search engine Naver, according to a report by the South Korean National Intelligence Service.",https://www.cfr.org/cyber-operations/targeting-of-users-of-naver
"Targeting of South Korean professors, dissidents, and human rights advocates",Espionage,Korea (Democratic People's Republic of),Korea (Republic of),vittima,,da_estrarre_con_llm,"APT 37, a North Korean hacking group, distributed information-stealing malware through Ably, a South Korean data-transfer and messaging application. The malware could be used to steal information from the victim’s computer and to record video and audio and exfiltrate it.",https://www.cfr.org/cyber-operations/targeting-of-south-korean-professors-dissidents-and-human-rights-advocates
Targeting of analysts of North Korean affairs,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),vittima,,da_estrarre_con_llm,Kimsuky used social engineering techniques to deploy ReconShark malware against former South Korean government officials and researchers focused on North Korean affairs. The group focused on expanding access to affected systems and stealing subscriptions to the North Korea-focused news website NKNews.,https://www.cfr.org/cyber-operations/targeting-of-analysts-of-north-korean-affairs
Targeting of South Korean hospital network,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),vittima,,da_estrarre_con_llm,"Kimsuky attacked the networks of Seoul National University Hospital in 2021 and stole personal data from over eight hundred thousand current and former patients and employees. Two years later, South Korean police attributed the attack to North Korea.",https://www.cfr.org/cyber-operations/targeting-of-south-korean-hospital-network
"Targeting of the staff of Korea Risk Group, as well as organizations in the United States, Asia, and Europe",Espionage,Korea (Republic of),"Korea (Republic of), United States",entrambi,,da_estrarre_con_llm,"Kimusky deployed ReconShark malware against phishing targets, including the staff of the information and analysis firm Korea Risk Group, and organizations and individuals in the United States, Asia, and Europe, including think tanks, research universities, and government entities.",https://www.cfr.org/cyber-operations/targeting-of-the-staff-of-korea-risk-group-as-well-as-organizations-in-the-united-states-asia-and-europe
Targeting of South Korean institutions,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),vittima,,da_estrarre_con_llm,"Chinese actor Tonto Team targeted South Korean education, construction, diplomatic, and political institutions with a malicious file related to anti-malware products.",https://www.cfr.org/cyber-operations/targeting-of-south-korean-institutions
Targeting of human rights groups and activists related to human rights advocacy in North Korea,Espionage,Korea (Democratic People's Republic of),Korea (Republic of),vittima,,da_estrarre_con_llm,An APT group with similarities to Kimusky compromised legitimate business websites to target human rights groups and activists in North Korea.,https://www.cfr.org/cyber-operations/targeting-of-human-rights-groups-and-activists-related-to-human-rights-advocacy-in-north-korea
