titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
Allanite,Espionage,Russian Federation,"United Kingdom, United States",vittima,,da_estrarre_con_llm,"This threat actor targets business and industrial control networks in the power-utility sector, for the purpose of espionage. In 2017, the U.S. Department of Homeland Security warned U.S. critical infrastructure operators about this threat actor and its capabilities.",https://www.cfr.org/cyber-operations/allanite
Kimusky,,Korea (Democratic People's Republic of),"France, Slovakia, United Kingdom, United States",vittima,,da_estrarre_con_llm,This threat actor targeted foreign ministries and think tanks in Europe and the United States using malware hidden in Microsoft Word documents and antiquated file formats.,https://www.cfr.org/cyber-operations/kimusky
APT 28,,Russian Federation,"Afghanistan, Armenia, Belgium, Canada, China, France, Georgia, Germany, Hungary, Japan, Jordan, Kazakhstan, Mongolia, Pakistan, Poland, Tajikistan, Turkey, Ukraine, United Kingdom, United States",vittima,2014-10-28,archivio_cfr_2019,"This threat actor is linked to espionage campaigns, high-profile doxing efforts, and disruptive incidents that compromised targets believed to be of interest to the Russian government.",https://www.cfr.org/cyber-operations/apt-28
Targeting of American defense industry,Espionage,Korea (Democratic People's Republic of),United States,vittima,,da_estrarre_con_llm,"The North Korean threat actor Lazarus Group leveraged a Windows update to conduct spear-phishing attacks, sending fake job offers from Lockheed Martin. Lazarus has used fake job offers in the past to plant malware on defense industry systems.",https://www.cfr.org/cyber-operations/targeting-of-american-defense-industry
"Targeting of humanitarian, think tank, and governmental organizations",Espionage,China,"India, Taiwan, United States",vittima,,da_estrarre_con_llm,"Security researchers described a long-running domain-spoofing campaign run by a Chinese-sponsored threat actor aimed at various organizations, with a special interest in Taiwan.",https://www.cfr.org/cyber-operations/targeting-of-humanitarian-think-tank-and-governmental-organizations
"Targeting of Google Chrome users in the United States, South Korea, and Europe, particularly those involved in research into North Korean affairs",Espionage,Korea (Democratic People's Republic of),"Korea (Republic of), United States",vittima,,da_estrarre_con_llm,"Zscaler observed Kimsuky leveraging a malicious version of a Google Chrome extension, which Zscaler named “Translatext,” to steal information. The extension allows Kimsuky to bypass popular email servers’ security measures and access users’ inboxes.",https://www.cfr.org/cyber-operations/targeting-of-google-chrome-users-in-the-united-states-south-korea-and-europe-particularly-those-involved-in-research-into-north-korean-affairs
UAC-0188,Espionage,Russian Federation,"Ukraine, United States",vittima,,da_estrarre_con_llm,UAC-0188 is a Russian threat actor that has been previously observed deploying malware on U.S. and European financial and insurance institutions.,https://www.cfr.org/cyber-operations/uac-0188
"Targeting of U.S. Departments of Treasury and State, defense contractors, and two New York–based companies",Espionage,Iran (Islamic Republic of),United States,vittima,,da_estrarre_con_llm,"Four Iranian nationals (Hossein Harooni, Reza Kazemifar, Komeil Baradaran Salmani, and Alireza Shafie Nasab) were members of a hacking organization from 2016 to 2021 that targeted U.S. companies and the Departments of Treasury and State. The group’s private-sector victims were mainly defense contractors with security clearance. Their primary techniques were spear phishing and social engineering.",https://www.cfr.org/cyber-operations/targeting-of-u-s-departments-of-treasury-and-state-defense-contractors-and-two-new-york-based-companies
Targeting of organizations using JetBrains software,Espionage,Russian Federation,United States,vittima,,da_estrarre_con_llm,"The Dukes, a threat actor associated with the Russian SVR intelligence agency, were detected using a previously undetected vulnerability in TeamCity, a product used to test and exchange software code before releasing it, to gain access to organizations’ networks. The attacks appear to have been opportunistic, as the Dukes targeted any vulnerable network, rather than […]",https://www.cfr.org/cyber-operations/targeting-of-organizations-using-jetbrains-software
Targeting of home internet routers to add to a botnet,Espionage,China,United States,vittima,,da_estrarre_con_llm,"Volt Typhoon targeted unsupported or unpatched home and small office internet routers. Once the routers were compromised, they were used to obfuscate Volt Typhoon’s operations. The network also contained routers from a U.S. judicial organization and a satellite management firm, although it was unclear if these organizations were targeted beyond adding the routers to the […]",https://www.cfr.org/cyber-operations/targeting-of-home-internet-routers-to-add-to-a-botnet
"Targeting of academic institutions, think tanks, and other research groups",Espionage,Russian Federation,United States,vittima,,da_estrarre_con_llm,"Calisto was observed targeting a variety of academic institutions, think tanks, and research organizations. The attacks were aimed at stealing credentials for a U.S.-based grants management portal. The report on Calisto’s targeting came the same day that three of its members were sanctioned by the UK government.",https://www.cfr.org/cyber-operations/targeting-of-academic-institutions-think-tanks-and-other-research-groups
Targeting of blockchain engineers at a cryptocurrency exchange,Financial Theft,Korea (Democratic People's Republic of),United States,vittima,,da_estrarre_con_llm,"Lazarus Group distributed a compromised cryptocurrency arbitrage bot on public services on the chat service Discord. The attack was highly targeted, with the goal of gaining access to the network of a cryptocurrency company.",https://www.cfr.org/cyber-operations/targeting-of-blockchain-engineers-at-a-cryptocurrency-exchange
Targeting of subsidiaries of global companies,Espionage,China,"Japan, Korea (Republic of), United States",vittima,,da_estrarre_con_llm,"BlackTech, a Chinese threat actor, targeted public- and private-sector organizations, including industrial, technology, media, electronics, and telecommunications companies. It attacked the poorly secured systems of subsidiary companies and then escalated access to the parent companies’ network, sometimes by compromising the firmware of routers.",https://www.cfr.org/cyber-operations/targeting-of-subsidiaries-of-global-companies
Targeting of Stake virtual currency service,Financial Theft,Korea (Democratic People's Republic of),United States,vittima,,da_estrarre_con_llm,Lazarus Group stole $41 million in cryptocurrency from the online gambling platform Stake.com.,https://www.cfr.org/cyber-operations/targeting-of-stake-virtual-currency-service
Targeting of GitHub users with an interest in cryptocurrency,Espionage,Korea (Democratic People's Republic of),United States,vittima,,da_estrarre_con_llm,"North Korean threat actor Lazarus Group used spear-phishing lures to distribute GitHub repositories, usually pretending to be media players or cryptocurrency trading tools, which contain malicious code. The attacks share commonalities with another North Korean cyberattack detected in June 2022, TraderTraitor.",https://www.cfr.org/cyber-operations/targeting-of-github-users-with-an-interest-in-cryptocurrency
Targeting of IT company as part of a supply-chain attack,Financial Theft,Korea (Democratic People's Republic of),United States,vittima,,da_estrarre_con_llm,"North Korean threat actors targeted the systems of an information technology firm, JumpCloud. After gaining access to JumpCloud’s systems, the operators targeted several JumpCloud customers involved in the cryptocurrency trade.",https://www.cfr.org/cyber-operations/targeting-of-it-company-as-part-of-a-supply-chain-attack
Targeting of nuclear security experts in phishing campaign,Espionage,Iran (Islamic Republic of),"France, Germany, United Kingdom, United States",vittima,,da_estrarre_con_llm,Iranian hackers sent phishing emails purporting to be from a senior fellow at the Royal United Services Institute. The campaign’s intent appears to be to learn more about the Joint Comprehensive Plan of Action negotiations over Iran’s nuclear program.,https://www.cfr.org/cyber-operations/targeting-of-nuclear-security-experts-in-phishing-campaign
Targeting of organizations using Barracuda email security gateway devices,Espionage,China,"Hong Kong, Taiwan, United States",vittima,,da_estrarre_con_llm,"A Chinese threat actor compromised Barracuda brand email security gateway systems and used access to infiltrate networks attached to the Barracuda products. Once the campaign was detected, the attackers rapidly expanded their persistence on compromised systems, leading Barracuda to tell affected customers to destroy their devices due to the potential for continued compromise.",https://www.cfr.org/cyber-operations/targeting-of-organizations-using-barracuda-email-security-gateway-devices
Targeting of government organizations in Eastern Europe and Western Asia,Espionage,China,"Estonia, Greece, Japan, Latvia, Taiwan, Turkey, United States",vittima,,da_estrarre_con_llm,"Mustang Panda targeted government and civil-society networks in at least nine countries— including the United States, Greece, Japan, and the United Kingdom—with several new malware droppers.",https://www.cfr.org/cyber-operations/targeting-of-government-organizations-in-eastern-europe-and-western-asia
Targeting of Atomic Wallet cryptocurrency users,Financial Theft,Korea (Democratic People's Republic of),United States,vittima,,da_estrarre_con_llm,North Korean hackers stole over $100 million in cryptocurrency from over five thousand cryptocurrency wallets run by a company called Atomic Wallet.,https://www.cfr.org/cyber-operations/targeting-of-atomic-wallet-cryptocurrency-users
Targeting of Russian iPhone users,Espionage,United States,Russian Federation,attore,,da_estrarre_con_llm,"In June, cybersecurity company Kaspersky announced that it was targeted by an advanced threat actor that compromised several Apple iOS devices in the company using zero-click exploits sent in text messages. Follow-up reporting indicates the threat actor used at least four zero-day exploits in the attack and exploited a previously unknown hardware flaw in Apple […]",https://www.cfr.org/cyber-operations/targeting-of-russian-iphone-users
Volt Typhoon,Espionage,China,United States,vittima,,da_estrarre_con_llm,"U.S. government agencies and Microsoft detected activity on critical infrastructure in the United States and Guam by a new Chinese threat actor dubbed Volt Typhoon. The attacks were primarily designed to gather information on U.S. critical infrastructure and military capabilities, but Microsoft and the agencies said the attacks could be preparation for a future attack […]",https://www.cfr.org/cyber-operations/volt-typhoon
Targeting of telecommunications equipment in Guam,Espionage,China,"Guam, United States",vittima,,da_estrarre_con_llm,"Volt Typhoon is a threat actor that has been active since 2021 and targets various organizations, including educational institutions, information technology companies, military networks, and transportation groups for the purposes of espionage. The group primarily targets high-value victims and maintains persistent access through “living off the land” techniques and hands-on activity.",https://www.cfr.org/cyber-operations/targeting-of-telecommunications-equipment-in-guam
Targeting of government networks with Snake malware,Espionage,Russian Federation,"Australia, Russian Federation, United States",vittima,,da_estrarre_con_llm,"The FBI said it had disrupted a malware network, Snake, run by Turla, a unit within Russia’s Federal Security Service (FSB). Snake had been operational for almost twenty years and had been placed on computers in over fifty countries, including the United States and Russia. The U.S. operation disabled Turla’s Snake malware using a tool […]",https://www.cfr.org/cyber-operations/targeting-of-government-networks-with-snake-malware
Targeting of PaperCut MF and NG print management servers by an Islamic Revolutionary Guard Corps–affiliated actor,Financial Theft,Iran (Islamic Republic of),United States,vittima,,da_estrarre_con_llm,Charming Kitten targeted vulnerabilities in PaperCut MF and NG print management servers with ransomware.,https://www.cfr.org/cyber-operations/targeting-of-papercut-mf-and-ng-print-management-servers-by-an-islamic-revolutionary-guard-corps-affiliated-actor
Targeting of PaperCut MF and NG print management servers by a Ministry of Intelligence and Security–affiliated actor,Financial Theft,Iran (Islamic Republic of),United States,vittima,,da_estrarre_con_llm,MuddyWater targeted vulnerabilities in PaperCut MF and NG print management servers with ransomware.,https://www.cfr.org/cyber-operations/targeting-of-papercut-mf-and-ng-print-management-servers-by-a-ministry-of-intelligence-and-security-affiliated-actor
"Targeting of the staff of Korea Risk Group, as well as organizations in the United States, Asia, and Europe",Espionage,Korea (Republic of),"Korea (Republic of), United States",vittima,,da_estrarre_con_llm,"Kimusky deployed ReconShark malware against phishing targets, including the staff of the information and analysis firm Korea Risk Group, and organizations and individuals in the United States, Asia, and Europe, including think tanks, research universities, and government entities.",https://www.cfr.org/cyber-operations/targeting-of-the-staff-of-korea-risk-group-as-well-as-organizations-in-the-united-states-asia-and-europe
Targeting of Mac users at financial institutions,Espionage,Korea (Democratic People's Republic of),United States,vittima,,da_estrarre_con_llm,"BlueNoroff, a subgroup of North Korea’s Lazarus Group, was observed using a new Mac operating-system malware family, dubbed RustBucket, in recent attacks on Mac machines. Based on the lures used, BlueNoroff likely targeted the financial technology sector with the malware. RustBucket can be used to gather system information and allows the attacker to perform various […]",https://www.cfr.org/cyber-operations/targeting-of-mac-users-at-financial-institutions
Targeting of U.S. critical infrastructure and civil-society groups,Espionage,Iran (Islamic Republic of),United States,vittima,,da_estrarre_con_llm,"Iranian state-sponsored actor Charming Kitten has been linked to attacks on the U.S. critical infrastructure from 2021 to mid-2022. Those attacks weaponized n-day vulnerabilities on a number of targets, including activists, journalists, the defense industrial base, political dissidents, and U.S. government employees.",https://www.cfr.org/cyber-operations/targeting-of-u-s-critical-infrastructure-and-civil-society-groups
Targeting of experts in North Korea policy issues,Espionage,Korea (Democratic People's Republic of),"Korea (Republic of), United States",vittima,,da_estrarre_con_llm,"In a recent phishing campaign, North Korean threat actor Kimsuky posed as media outlets and think tanks and requested interviews or information about North Korea. The emails contained malicious links redirecting to fake login pages that harvested user credentials.",https://www.cfr.org/cyber-operations/targeting-of-experts-in-north-korea-policy-issues
Targeting of 3CXDesktopApp customers and crypto firms,Espionage,Korea (Democratic People's Republic of),United States,vittima,,da_estrarre_con_llm,"Suspected members of the North Korean Lazarus Group targeted customers of the voice and video conferencing software 3CXDesktopApp in a financially motivated supply-chain attack during March 2023. The infected infrastructure was spread primarily across European countries, with additional victims in South Africa, the United Kingdom, and North America. In addition to being targeted with an […]",https://www.cfr.org/cyber-operations/targeting-of-3cxdesktopapp-customers-and-crypto-firms
Targeting of organizations of strategic interest to the Chinese government,Espionage,China,United States,vittima,,da_estrarre_con_llm,"Winnti Umbrella, a Chinese state-sponsored threat actor, is continuing to target organizations of interest to the Chinese government (including government, media, and information technology organizations). The group was using Keyplug, a Linux version of the custom modular backdoor, to gain access to victims’ networks, exfiltrating information in line with espionage operations.",https://www.cfr.org/cyber-operations/targeting-of-organizations-of-strategic-interest-to-the-chinese-government
