titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
APT 28,,Russian Federation,"Afghanistan, Armenia, Belgium, Canada, China, France, Georgia, Germany, Hungary, Japan, Jordan, Kazakhstan, Mongolia, Pakistan, Poland, Tajikistan, Turkey, Ukraine, United Kingdom, United States",vittima,2014-10-28,archivio_cfr_2019,"This threat actor is linked to espionage campaigns, high-profile doxing efforts, and disruptive incidents that compromised targets believed to be of interest to the Russian government.",https://www.cfr.org/cyber-operations/apt-28
Targeting of financial institutions in Taiwan,Espionage,China,Taiwan,attore,,da_estrarre_con_llm,The Chinese threat actor Antlion targeted financial institutions in Taiwan with a custom backdoor. The hackers stole data from the infected networks in what may have been a larger campaign to gain intelligence on the Taiwanese financial sector.,https://www.cfr.org/cyber-operations/targeting-of-financial-institutions-in-taiwan
Targeting of the Belgian Federal Public Service Interior as part of espionage campaign,Espionage,China,Belgium,attore,,da_estrarre_con_llm,Chinese threat actors targeted the Belgian Federal Public Service Interior as part of a wide-ranging cyberespionage campaign involving multiple threat actors. Belgian authorities condemned the activity.,https://www.cfr.org/cyber-operations/targeting-of-the-belgian-federal-public-service-interior-as-part-of-espionage-campaign
"Targeting of humanitarian, think tank, and governmental organizations",Espionage,China,"India, Taiwan, United States",attore,,da_estrarre_con_llm,"Security researchers described a long-running domain-spoofing campaign run by a Chinese-sponsored threat actor aimed at various organizations, with a special interest in Taiwan.",https://www.cfr.org/cyber-operations/targeting-of-humanitarian-think-tank-and-governmental-organizations
Targeting of Association of Southeast Asian Nations (ASEAN) email servers,Espionage,China,,attore,,da_estrarre_con_llm,"Chinese state-sponsored hackers breached the ASEAN email servers in February 2022, stealing over thirty gigabytes of data. That data is believed to contain information about the economic outlook and political conditions of member countries.",https://www.cfr.org/cyber-operations/targeting-of-association-of-southeast-asian-nations-asean-email-servers
Targeting of a telecommunications firm in the Middle East and a government network in Asia,Espionage,China,,attore,,da_estrarre_con_llm,Emissary Panda was spotted using a new variant of its SysUpdate backdoor to infiltrate the systems of a Middle Eastern telecommunications firm and a government network in Asia.,https://www.cfr.org/cyber-operations/targeting-of-a-telecommunications-firm-in-the-middle-east-and-a-government-network-in-asia
Sharp Panda,,China,Barbados,attore,,da_estrarre_con_llm,"Previously known for targeting Southeast Asian governments, Sharp Panda (also known as Sharp Dragon) recently began leveraging compromised networks in Southeast Asia to breach governmental organizations in Africa and the Caribbean.",https://www.cfr.org/cyber-operations/sharp-panda
Targeting of a high-profile government organization in southeast Asia,Espionage,China,,attore,,da_estrarre_con_llm,Sophos published a report detailing three clusters of activity targeting a high-profile government organization in Southeast Asia. Each cluster has some degree of known overlap with existing Chinese APTs and shares significant TTPs. All three targeted documents are suggested to be valuable to intelligence.,https://www.cfr.org/cyber-operations/targeting-of-a-high-profile-government-organization-in-southeast-asia
Velvet Ant,Espionage,China,,attore,,da_estrarre_con_llm,Velvet Ant is reported to have targeted an unnamed company in East Asia by infiltrating the company’s network through specific legacy appliances.,https://www.cfr.org/cyber-operations/velvet-ant
Targeting of an unnamed company in East Asia,Espionage,China,,attore,,da_estrarre_con_llm,Velvet Ant is reported to have targeted an unnamed company in East Asia by infiltrating the company’s network through specific legacy appliances. Cybersecurity company Sygnia reported that Velvet Ant transferred its access to the network across devices in real time as it worked to remove access.,https://www.cfr.org/cyber-operations/targeting-of-an-unnamed-company-in-east-asia
