titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
Trisis,Sabotage,Russian Federation,Saudi Arabia,vittima,,da_estrarre_con_llm,"This threat actor targets the Triconex safety instrumented system (SIS) controllers produced by Schneider Electric, as well as a proprietary network communications protocol. SIS controllers maintain safe conditions in an industrial system should other failures occur. In 2017, the U.S. Department of Homeland Security released a malware analysis report on the tools used by this […]",https://www.cfr.org/cyber-operations/trisis
Leafminer,,Iran (Islamic Republic of),"Afghanistan, Azerbaijan, Bahrain, Egypt, Iran (Islamic Republic of), Israel, Qatar, Saudi Arabia, United Arab Emirates",vittima,,da_estrarre_con_llm,"This threat actor targets government organizations and entities in the financial, petrochemical, and transportation sectors for espionage purposes.",https://www.cfr.org/cyber-operations/leafminer
"Compromises of government embassies, telecommunications companies, and a Russian oil company",Espionage,Iran (Islamic Republic of),"Pakistan, Russian Federation, Saudi Arabia, Turkey",vittima,,da_estrarre_con_llm,"A group has attacked 131 victims in thirty organizations since September 2018, including unidentified government embassies, telecommunications firms, and a Russian oil and gas company.",https://www.cfr.org/cyber-operations/compromises-of-government-embassies-telecommunications-companies-and-a-russian-oil-company
"Targeting of high-profile government, aviation, energy, telecoms and banking-sector entities in the Middle East and North Africa",Espionage,Iran (Islamic Republic of),"Armenia, Azerbaijan, Bahrain, Canada, Egypt, Israel, Jordan, Kuwait, Malaysia, Saudi Arabia, Syrian Arab Republic, Turkey, United Arab Emirates",vittima,,da_estrarre_con_llm,"MuddyWater ran a phishing campaign that likely began in July 2021 against high-profile government, aviation, banking-sector, energy, and telecommunications entities in the Middle East and North Africa.",https://www.cfr.org/cyber-operations/targeting-of-high-profile-government-aviation-energy-telecoms-and-banking-sector-entities-in-the-middle-east-and-north-africa
"Targeting of military personnel, government officials, employees of human rights and other nonprofit organizations, and students in Afghanistan, India, Pakistan, Saudi Arabia, and the United Arab Emirates (UAE)",Espionage,Pakistan,"Afghanistan, Pakistan, Saudi Arabia, United Arab Emirates",vittima,,da_estrarre_con_llm,A Pakistani advanced persistent threat actor used emails and social media to target people online and plant malware on their devices.,https://www.cfr.org/cyber-operations/targeting-of-military-personnel-government-officials-employees-of-human-rights-and-other-nonprofit-organizations-and-students-in-afghanistan-india-pakistan-saudi-arabia-and-the-united-arab-emir
Targeting   of entities   in Turkey   and the   Arabian   Peninsula,Espionage,Iran (Islamic Republic of),"Saudi Arabia, Turkey",vittima,,da_estrarre_con_llm,"MuddyWater conducted a campaign targeting entities in Turkey and the Arabian Peninsula with malicious files used to deliver a remote access Trojan called SloughRAT to victim’s computers. These attacks, though distinct, are related to the January 2022 MuddyWater campaign targeting the Turkish government, leading experts to conclude that this Iranian APT is comprised of multiple teams operating independently.",https://www.cfr.org/cyber-operations/targeting-of-entities-in-turkey-and-the-arabian-peninsula
Targeting of the United Nations’ human rights investigator in Yemen,Espionage,Saudi Arabia,Yemen,attore,,da_estrarre_con_llm,"Saudi Arabia was accused of using Pegasus spyware to break into the mobile phone of Kamel Jendoubi, the lead investigator for the United Nations examining allegations of war crimes in Yemen’s ongoing civil war.",https://www.cfr.org/cyber-operations/targeting-of-the-united-nations-human-rights-investigator-in-yemen
Targeting of telecommunication companies in Asia and the Middle East,Espionage,Iran (Islamic Republic of),"Israel, Jordan, Kuwait, Lao People's Democratic Republic, Pakistan, Saudi Arabia, Thailand, United Arab Emirates",vittima,,da_estrarre_con_llm,"Iran launched an espionage campaign directed against telecommunication companies throughout Asia and the Middle East. The attacks could have been aimed at inserting malware into the supply chain, although the exact purpose is unclear.",https://www.cfr.org/cyber-operations/targeting-of-telecommunication-companies-in-asia-and-the-middle-east
Targeting of thirty-six Al Jazeera employees’ iPhones,Espionage,"Saudi Arabia, United Arab Emirates",,attore,,da_estrarre_con_llm,"Government operators from Saudi Arabia and the United Arab Emirates used Pegasus, spyware developed by NSO Group, to compromise the iPhones of thirty-six employees of the Doha-based Al Jazeera news agency.",https://www.cfr.org/cyber-operations/targeting-of-thirty-six-al-jazeera-employees-iphones
Targeting of air transportation and government agencies in Kuwait and Saudi Arabia,,Iran (Islamic Republic of),"Kuwait, Saudi Arabia",vittima,,da_estrarre_con_llm,"Dating back to 2018, hackers conducted espionage campaigns against air transportation and government agencies in Kuwait and Saudi Arabia.",https://www.cfr.org/cyber-operations/targeting-of-air-transportation-and-government-agencies-in-kuwait-and-saudi-arabia
Tracking of Saudi Arabian citizens in the United States,Espionage,Saudi Arabia,United States,attore,,da_estrarre_con_llm,The Saudi Arabian government used flaws in the global Signaling System 7 (SS7) to track Saudis in the United States by sending requests through Saudi phone companies.,https://www.cfr.org/cyber-operations/tracking-of-saudi-arabian-citizens-in-the-united-states
Targeting of over seventy-five organizations,Espionage,China,"Australia, Canada, Denmark, Finland, France, India, Italy, Japan, Malaysia, Mexico, Poland, Qatar, Saudi Arabia, Singapore, Sweden, Switzerland, The Philippines, United Arab Emirates, United Kingdom, United States",vittima,,da_estrarre_con_llm,The Chinese threat actor APT 41 attempted to exploit three vulnerabilities at over seventy-five organizations across sectors and countries. This was one of the most widespread attacks by a Chinese threat actor in years.,https://www.cfr.org/cyber-operations/targeting-of-over-seventy-five-organizations
"Targeting of companies in the United States, Israel, Saudi Arabia, and elsewhere",Espionage,Iran (Islamic Republic of),"Israel, Saudi Arabia, United States",vittima,,da_estrarre_con_llm,"The Iranian threat actors targeted dozens of companies in the United States, Israel, Saudi Arabia, and elsewhere. They exploited VPNs for initial access and breached additional companies via supply chain attacks.",https://www.cfr.org/cyber-operations/targeting-of-companies-in-the-united-states-israel-saudi-arabia-and-elsewhere
Impersonation of journalists to compromise public figures,Espionage,Iran (Islamic Republic of),"Germany, Israel, Saudi Arabia, United Kingdom, United States",vittima,,da_estrarre_con_llm,The Iranian state-backed threat actor Charming Kitten impersonated prominent journalists and sent targets fake interview requests in order to steal their credentials and send them malware.,https://www.cfr.org/cyber-operations/impersonation-of-journalists-to-compromise-public-figures
Targeting of  New York Times journalist Ben Hubbard,Espionage,Saudi Arabia,,attore,,da_estrarre_con_llm,The Saudi hackers KINGDOM launched a phishing attack to attempt to trick  journalist Ben Hubbard into installing NSO Group’s Pegasus malware onto his phone. Hubbard does not recall clicking on the infected link sent to him via text message and it is unknown if his phone was infected.,https://www.cfr.org/cyber-operations/targeting-of-new-york-times-journalist-ben-hubbard
KINGDOM,,Saudi Arabia,Canada,attore,,da_estrarre_con_llm,"This threat actor, believed to be linked to Saudi Arabia, targets Saudi dissidents and foreign journalists with NSO Group’s Pegasus malware.",https://www.cfr.org/cyber-operations/kingdom
Attack on Italian oil firm Saipem,Espionage,Iran (Islamic Republic of),"India, Italy, Kuwait, Saudi Arabia, United Arab Emirates, United Kingdom",vittima,2018-12-20,archivio_cfr_2019,"An attack on the Italian oil firm Saipem targeted servers based in India, Kuwait, Saudi Arabia, Scotland, and the United Arab Emirates. Hackers used a variant of the Shamoon virus.",https://www.cfr.org/cyber-operations/attack-on-italian-oil-firm-saipem
APT 39,,Iran (Islamic Republic of),"Australia, Egypt, Iraq, Korea (Republic of), Norway, Saudi Arabia, Spain, Turkey",vittima,2018-12-12,archivio_cfr_2019,"This threat actor, operating since November 2014, focuses on the Middle East. It mainly targets the telecommunications industry, and also targets the travel industry and supporting IT firms, and the high-tech industry.",https://www.cfr.org/cyber-operations/apt-39
Targeting of Omar Abdulaziz,Espionage,Saudi Arabia,Canada,attore,2018-10-01,archivio_cfr_2019,"A threat actor targeted the iPhone of Omar Abdulaziz, a critic of the Kingdom of Saudi Arabia living in Canada, for espionage purposes. The threat actor uses the Pegasus tool, created by the NSO Group.",https://www.cfr.org/cyber-operations/targeting-of-omar-abdulaziz
Targeting of Yahya Assiri,Espionage,Saudi Arabia,Saudi Arabia,entrambi,2018-08-01,archivio_cfr_2019,"A threat actor targeted Yahya Assiri, a critic of the Kingdom of Saudi Arabia and a researcher at Amnesty International, for espionage purposes. The threat actor used the Pegasus tool, created by the NSO Group.",https://www.cfr.org/cyber-operations/targeting-of-yahya-assiri
Operation Parliament,Espionage,,"Afghanistan, Canada, Chile, Denmark, Djibouti, Egypt, Germany, India, Iran (Islamic Republic of), Iraq, Israel, Jordan, Korea (Republic of), Kuwait, Lebanon, Morocco, Oman, Palestine, State of, Qatar, Russian Federation, Saudi Arabia, Serbia, Somalia, Syrian Arab Republic, United Arab Emirates, United Kingdom, United States",vittima,2018-04-12,archivio_cfr_2019,"This threat actor uses spear-phishing techniques to target parliaments, government ministries, academics, and media organizations, primarily in the Middle East, for the purpose of espionage.",https://www.cfr.org/cyber-operations/operation-parliament
